date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:03	104212/104212	---MCZ	200	added ('OK')	text/css	etag:W/%2255d762b7-19714%22	http://html.templines.com/sokolcov/garden-master/css/hover-min.css	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/css/hover-min.css	(from http://html.templines.com/sokolcov/garden-master/css/master.css)
20:38:03	716/716	---M--	200	added ('OK')	text/css	etag:%2255d762b6-2cc%22	http://html.templines.com/sokolcov/garden-master/css/custom.css	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/css/custom.css	(from http://html.templines.com/sokolcov/garden-master/css/master.css)
20:38:04	13288/13288	---MCZ	200	added ('OK')	text/css	etag:W/%2255d762b6-33e8%22	http://html.templines.com/sokolcov/garden-master/css/color.css	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/css/color.css	(from http://html.templines.com/sokolcov/garden-master/css/master.css)
20:38:04	248/248	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202016%2015:08:07%20GMT	http://html.templines.com/sokolcov/garden-master/Popover%20requires%20tooltip.js	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/Popover%20requires%20tooltip.js	(from http://html.templines.com/sokolcov/garden-master/js/bootstrap.min.js)
20:38:04	4765/4765	---MCZ	200	added ('OK')	text/css	etag:W/%2255d762b6-129d%22	http://html.templines.com/sokolcov/garden-master/css/demo-page.css	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/css/demo-page.css	(from http://html.templines.com/sokolcov/garden-master/.)
20:38:05	9470/9470	---MCZ	200	added ('OK')	text/html	etag:W/%223950465-24fe-53617f7238080%22	http://html.templines.com/sokolcov/garden-master/index.html	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/index.html	(from http://html.templines.com/sokolcov/garden-master/.)
20:38:06	5454/5454	---M--	200	added ('OK')	image/png	etag:%2255d762fb-154e%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/demo-page-logo.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/demo-page-logo.png	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:01	385869/385869	---M--	200	added ('OK')	image/jpeg	etag:%2255d76308-5e34d%22	http://html.templines.com/sokolcov/garden-master/media/paralax/demo.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/paralax/demo.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:03	351989/351989	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f7-55ef5%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/3.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/3.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:13	414201/414201	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f6-651f9%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/2.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/2.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
